status,product_area,response,justification,request_type
replied,Account management,"Your organization's Primary Owner manages the Work account and associated access, including the ability to remove access. If you are in Team or Enterprise and are not an Owner or Console Admin, human specialist support is not directly available for your seat type; the Primary Owner, Owner, or Console Admin should reach out on your behalf.","The ticket is about Team/Enterprise access removal, which the Claude help center routes through the primary owner or admin.",product_issue
replied,Test reports,"HackerRank does not participate in hiring decisions. The team is not authorized to share test results or modify the hiring workflow, so please contact your recruiter or hiring team directly.","The request asks HackerRank to change a candidate evaluation outcome, which the corpus says must be handled by the recruiter or hiring team.",product_issue
replied,Merchant support,"If you have concerns involving a merchant, you can take action immediately by filling out Visa's merchant concerns form. Visa does not set up, service, or have access to cardholder or merchant accounts, so the issuer or bank handles account-level follow-up.",The merchant concern path is explicitly covered in the Visa support corpus.,product_issue
escalated,Interviews,"If your mock interview stopped unexpectedly, this needs support review. Please contact help@hackerrank.com so the team can check the session interruption and credit usage.","The ticket describes an interrupted mock interview session, which should be handled by support review rather than a generic article excerpt.",bug
replied,Subscriptions and billing,"Refresh the page and retry the payment. If any amount was deducted incorrectly, it will be refunded within 5–10 business days.",The payment FAQ provides the retry and refund guidance for billing issues.,product_issue
escalated,General help,This needs human review from the HackerRank support or recruiting team because I could not ground it safely in the corpus.,The corpus does not provide a self-serve article for filling out external infosec forms for a company.,feature_request
replied,Practice challenges,"Wait for the challenge results to process. Challenge results usually appear shortly after you submit a solution, and once the system evaluates your submission you can see your points, badges, and rank in the upper-right corner of the challenge page.",The practice challenge FAQ explains how submissions and results appear after evaluation.,bug
replied,Practice challenges,"Wait for the challenge results to process. Challenge results usually appear shortly after you submit a solution, and once the system evaluates your submission you can see your points, badges, and rank in the upper-right corner of the challenge page.",The practice challenge FAQ explains how submissions and results appear after evaluation.,bug
replied,Interviews,"The interview settings and virtual lobby guidance cover setup, and network strength is visible both in the lobby and inside the interview. If the candidate is being moved back to the lobby, the virtual lobby and inactivity settings are the relevant controls to review.",The issue is a conference/interview connectivity problem and the virtual lobby/interview settings articles are the closest grounded match.,bug
replied,Candidate experience,"HackerRank does not participate in hiring decisions, and the team is not authorized to reschedule assessments or interviews, grant testing accommodations, or modify your hiring workflow. Please contact your recruiter or hiring team directly.","The candidate-support workflow says rescheduling and accommodations are handled by the recruiter or hiring team, not HackerRank.",product_issue
replied,Interviews,"The virtual lobby is a waiting room for candidates and interviewers, and company admins can configure session inactivity timeout. Candidates can also be pushed back to the lobby when interviewers leave.",The interview and security settings articles describe the lobby and inactivity behavior.,product_issue
replied,General,"I am sorry, this is out of scope from my capabilities.",The message is generic and does not contain a grounded support request in the corpus.,invalid
replied,Admin management,"Admins can add and remove users from teams, and there are also interview and shared-test flows that expose a Remove User action. Use the appropriate team or interview administration area to remove the user.",The corpus shows user removal is handled by team/admin controls and related interview/test flows.,product_issue
replied,Subscriptions and billing,"The Pause Subscription feature lets individual self-serve plan subscribers pause a monthly subscription after it has been active for at least 30 days. You can pause from Settings > Billing, choose a duration from 1 to 12 months, and later resume early if needed.",The pause-subscription article covers both eligibility and the resume flow.,product_issue
escalated,API and console,This needs human review from Claude support because I could not ground it safely in the corpus.,The ticket reads like a service-wide outage and needs human investigation.,bug
replied,Consumer support,"Visit Visa's Lost or Stolen card page if the identity theft involves your Visa card. Visa can help block the card and provide emergency services, and for traveller's cheques you should immediately call the issuing bank.",Visa's consumer support page covers lost or stolen cards and related emergency services.,product_issue
escalated,Resume builder,This needs human review from the HackerRank support or recruiting team because I could not ground it safely in the corpus.,A product-wide outage on Resume Builder should be investigated by support.,bug
replied,Certifications,"You can update the name on your certificate only once per account, and the change applies to all certificates. After you update it, you cannot change it again.",The certifications FAQ directly answers the name-on-certificate question.,product_issue
replied,Consumer support,"To dispute a charge, please contact your issuer or bank using the freephone number on the front or back of your Visa card. In many cases, your issuer or bank will require detailed information regarding the transaction before resolving the dispute.",Visa directs charge disputes to the issuer or bank.,product_issue
replied,Safety and reporting,Anthropic asks researchers to report universal jailbreaks through the public vulnerability reporting flow and reviews reports under its Responsible Disclosure Policy. The Model Safety Bug Bounty Program is also available for targeted safety research.,The safeguards articles provide the reporting path for security and jailbreak findings.,product_issue
escalated,Features and capabilities,This needs human review from Claude support because I could not ground it safely in the corpus.,I could not find a grounded self-serve article for stopping website crawling in the provided corpus.,feature_request
replied,Travel support,"Visa cardholders can report lost or stolen Visa cards and request emergency services by calling GCAS 24 hours a day, 365 days a year. GCAS can help block the card within 30 minutes once it has been reported lost or stolen and can also provide emergency cash and replacement card services.",Visa's travel support page and consumer support page both describe emergency cash and card replacement services.,product_issue
replied,Account management,"For many Claude surfaces, inputs and outputs are automatically deleted from Anthropic's backend within 30 days of receipt or generation, subject to the exceptions described in the privacy articles. Data exports also include conversation data and user data for your account.",The Claude privacy and retention articles are the right place for data-use and retention questions.,product_issue
replied,General,"I am sorry, this is out of scope from my capabilities.",The request is unrelated to the support corpus and is best treated as out of scope.,invalid
replied,Consumer support,"If your card is lost, stolen, damaged, or compromised while travelling, Visa can work with your financial institution to approve and expedite an emergency card, usually within 1 to 3 days. For help, call the USA freephone number (+1 800 847 2911) or use a global freephone number from the support page.",The travel and lost-or-stolen card guidance covers blocked cards and emergency replacement support.,product_issue
replied,Amazon Bedrock,"If you're using Claude through AWS Bedrock, your usage is non-refundable. If you are a customer with a private offer and direct contract with Anthropic for your Bedrock usage, you can reach out to your Anthropic relationship manager for additional assistance.",The Amazon Bedrock support article is the closest grounded path for Bedrock-related failures.,bug
replied,Admin management,"Admins can add and remove users from teams, and there are also interview and shared-test flows that expose a Remove User action. Use the appropriate team or interview administration area to remove the user.",The corpus shows user removal is handled by team/admin controls and related interview/test flows.,product_issue
replied,Claude for Education,Set up the Claude LTI in Canvas by adding a Developer Key and then a new LTI Key.,The Claude for Education setup article directly covers the LTI key flow.,product_issue
replied,Merchant support,"If you have concerns involving a merchant, you can take action immediately by filling out Visa's merchant concerns form. Visa does not set up, service, or have access to cardholder or merchant accounts, so the issuer or bank handles account-level follow-up.",The merchant concern path is explicitly covered in the Visa support corpus.,product_issue
