status,product_area,response,justification,request_type
replied,Hackerrank / General Help,"Here is the relevant HackerRank guidance: You can now assess candidates by adding Azure hands-on questions from the HackerRank library to your tests. With this new Cloud skill offering, candidates can complete tasks directly in the Azure Portal using a temporary account provided by HackerRank. For example, they might be asked to set up a Virtual Network and configure Network Security Groups or host a website using Azure Web Apps. Once completed, their work is automatically scored and logged in the test report.",Matched the ticket to hackerrank/general-help/release-notes/1189675016-october-2024-release-notes.md in the provided corpus and answered from that article.,product_issue
escalated,Hackerrank / General Help,"HackerRank monitors widespread issues and directs users to the status page for major incidents. Because this sounds like a broader outage, please have the support team investigate it directly.","The ticket describes a broad platform outage, which needs human investigation rather than a self-serve answer.",product_issue
replied,Practice challenges,"Wait for the challenge results to process. Challenge results usually appear shortly after you submit a solution, and once the system evaluates your submission you can see your points, badges, and rank in the upper-right corner of the challenge page.",The practice challenge FAQ explains how submissions and results appear after evaluation.,product_issue
replied,Hackerrank / General Help,"Here is the relevant HackerRank guidance: AI Add-on customers can now switch between Secure Mode and Proctor Mode on any test, even those with existing candidate attempts. Once updated, new attempts will follow the selected mode, giving you flexibility to change your proctoring strategy without disrupting existing data. Both modes are compatible with Chrome and Edge, so there's no change to browser requirements for candidates.",Matched the ticket to hackerrank/general-help/release-notes/2321596225-january-2026-release-notes.md in the provided corpus and answered from that article.,product_issue
replied,Settings,"Here is the relevant HackerRank guidance: HackerRank does not store a separate password for your account if you sign up using a third-party provider such as Google or GitHub.\ To update your password, change it in your Google or GitHub account settings.\ If you cannot access your third-party account, contact HackerRank support at help@hackerrank.com for assistance.",Matched the ticket to hackerrank/hackerrank_community/account-settings/manage-account/1917106962-manage-account-faqs.md in the provided corpus and answered from that article.,product_issue
replied,Claude Code,"Here is the relevant Claude guidance: Use the support messenger in Claude or Console to contact support. Free users have Help Center access, and if you cannot log in you can still request account deletion, data exports, or subscription support.",Matched the ticket to claude/claude-code/launch-guides/14554000-claude-code-power-user-tips.md in the provided corpus and answered from that article.,product_issue
replied,General,"I am sorry, this is out of scope from my capabilities.",The request is unrelated to the support corpus and is best treated as out of scope.,invalid
replied,Consumer support,"Visit Visa's Lost or Stolen card page if the identity theft involves your Visa card. Visa can help block the card and provide emergency services, and for traveller's cheques you should immediately call the issuing bank.",Visa's consumer support page covers lost or stolen cards and related emergency services.,product_issue
replied,Consumer support,"Visit Visa's Lost or Stolen card page if the identity theft involves your Visa card. Visa can help block the card and provide emergency services, and for traveller's cheques you should immediately call the issuing bank.",Visa's consumer support page covers lost or stolen cards and related emergency services.,product_issue
replied,Hackerrank / General Help,"Here is the relevant guidance: - Scores below the cut-off are no longer shown in red, helping you assess results more objectively.",Matched the ticket to hackerrank/general-help/release-notes/2321596225-january-2026-release-notes.md in the provided corpus and answered from that article.,product_issue
